,0
id,0
Attr1,0
Attr2,0
Attr3,0
Attr4,0
Attr5,0
Attr6,0
Attr7,0
Attr8,0
Attr9,0
Attr10,0
Attr11,0
Attr12,0
Attr13,0
Attr14,0
Attr15,0
Attr16,0
Attr17,0
Attr18,0
Attr19,0
Attr20,0
Attr21,0
Attr22,0
Attr23,0
Attr24,0
Attr25,0
Attr26,0
Attr27,0
Attr28,0
Attr29,0
Attr30,0
Attr31,0
Attr32,0
Attr33,0
Attr34,0
Attr35,0
Attr36,0
Attr37,0
Attr38,0
Attr39,0
Attr40,0
Attr41,0
Attr42,0
Attr43,0
Attr44,0
Attr45,0
Attr46,0
Attr47,0
Attr48,0
Attr49,0
Attr50,0
Attr51,0
Attr52,0
Attr53,0
Attr54,0
Attr55,0
Attr56,0
Attr57,0
Attr58,0
Attr59,0
Attr60,0
Attr61,0
Attr62,0
Attr63,0
Attr64,0
class,0
