,0
Attr1,1
Attr2,1
Attr3,1
Attr4,22
Attr5,24
Attr6,1
Attr7,1
Attr8,18
Attr9,4
Attr10,1
Attr11,1
Attr12,22
Attr13,63
Attr14,1
Attr15,12
Attr16,19
Attr17,18
Attr18,1
Attr19,64
Attr20,63
Attr21,3164
Attr22,1
Attr23,63
Attr24,225
Attr25,1
Attr26,19
Attr27,706
Attr28,212
Attr29,1
Attr30,63
Attr31,63
Attr32,87
Attr33,22
Attr34,18
Attr35,1
Attr36,1
Attr37,4518
Attr38,1
Attr39,63
Attr40,22
Attr41,197
Attr42,63
Attr43,63
Attr44,63
Attr45,541
Attr46,22
Attr47,74
Attr48,2
Attr49,63
Attr50,18
Attr51,1
Attr52,74
Attr53,212
Attr54,212
Attr55,1
Attr56,63
Attr57,2
Attr58,39
Attr59,2
Attr60,543
Attr61,16
Attr62,63
Attr63,22
Attr64,212
class,0
